samples,predicted
"Әдетте, су беті біркелкі емес, бөлік-бөлікпен қатады: алдымен жағалауы, судың таяз жері, содан кейін ортасы.
","Әдетте, су беті біркелкі емес, бөлікбөлікпен қатады: алдымен жағалауы, судың таяз жері, содан кейін ортасы 
"
"Адамның мұз үстінде қауіпсіз болуының негізгі шарты мұз қалыңдығының салмаққа сәйкестігі болып табылады:
","Адамның мұз үстінде қауіпсіз болуының негізгі шарты мұз қалыңдығының салмаққа сәйкестігі болып табылады:
"
"– бір адам үшін мұздың қауіпсіз қалыңдығы 7 см кем емес;
","  бір адам үшін мұздың қауіпсіз қалыңдығы жеті см кем емес;
"
"– мұз айдынын салу үшін мұздың қауіпсіз қалыңдығы 12 см және одан да көп;
","  мұз айдынын салу үшін мұздың қауіпсіз қалыңдығы он екі см және одан да көп;
"
"– жаяу өткелді жасау үшін мұздың қауіпсіз қалыңдығы 15 см және одан көп;
","  жаяу өткелді жасау үшін мұздың қауіпсіз қалыңдығы он бес см және одан көп;
"
"– автомобильдер өтуі үшін мұздың қауіпсіз қалыңдығы кемінде 30 см.
","  автомобильдер өтуі үшін мұздың қауіпсіз қалыңдығы кемінде отыз см 
"
"Ешқандай жағдайда мұз үстінде қараңғы уақытта және ауа-райы қолайсыз болғанда (тұман, қар, жаңбыр) жүруге болмайды;
","Ешқандай жағдайда мұз үстінде қараңғы уақытта және ауарайы қолайсыз болғанда (тұман, қар, жаңбыр) жүруге болмайды;
"
"Өзеннен өту үшін мұз өткелдерімен жүру керек;
","Өзеннен өту үшін мұз өткелдерімен жүру керек;
"
"Мұздың беріктігін аяқпен тексеруге болмайды.
","Мұздың беріктігін аяқпен тексеруге болмайды 
"
"Егер ағашпен немесе шаңғы таяқшасымен соққаннан кейін су көрінсе, бұл мұздың жұқа екенін білдіреді.
","Егер ағашпен немесе шаңғы таяқшасымен соққаннан кейін су көрінсе, бұл мұздың жұқа екенін білдіреді 
"
"Мұндай жағдайда аяқты мұздан ажыратпай, иық тұсына дейін аяқтарыңызды ашып, сырғымалы қадамдармен келген ізіңізбен дереу қайта кету керек. Мұз жарылған немесе шытынаған жағдайда да дәл осындай әрекеттер жасау қажет;
","Мұндай жағдайда аяқты мұздан ажыратпай, иық тұсына дейін аяқтарыңызды ашып, сырғымалы қадамдармен келген ізіңізбен дереу қайта кету керек  Мұз жарылған немесе шытынаған жағдайда да дәл осындай әрекеттер жасау қажет;
"
"Егер мұз бетінен өтуге мәжбүр болсаңыз, жүріп өткен жолдың немесе шаңғы жолының ізімен жүруге тырысыңыз.
","Егер мұз бетінен өтуге мәжбүр болсаңыз, жүріп өткен жолдың немесе шаңғы жолының ізімен жүруге тырысыңыз 
"
"Егер ондай жол болмаса, айналаңызға мұқият қарап, алдағы маршрутты белгілеуіңіз керек;
","Егер ондай жол болмаса, айналаңызға мұқият қарап, алдағы маршрутты белгілеуіңіз керек;
"
"Мұз бетінен топпен өткен кезде әр адам арасында 5-6 м арақашықтық болу керек.
","Мұз бетінен топпен өткен кезде әр адам арасында бес алты м арақашықтық болу керек 
"
"Мұз басқан өзенді (көлді) шаңғымен өткен дұрыс, бұл ретте қажет болған жағдайда оларды тез шешу үшін шаңғылардың бекіткішін ашыңыз, шаңғы таяқтарын қолыңызда ұстаңыз, қауіп төнген жағдайда оларды дереу тастау үшін ілмегін қолыңызға тақпаңыз;
","Мұз басқан өзенді (көлді) шаңғымен өткен дұрыс, бұл ретте қажет болған жағдайда оларды тез шешу үшін шаңғылардың бекіткішін ашыңыз, шаңғы таяқтарын қолыңызда ұстаңыз, қауіп төнген жағдайда оларды дереу тастау үшін ілмегін қолыңызға тақпаңыз;
"
"Егер рюкзак ұстап жүрсеңіз, оны бір иыққа іліп алыңыз.
","Егер рюкзак ұстап жүрсеңіз, оны бір иыққа іліп алыңыз 
"
"Бұл мұз жарылып, суға батсаңыз, жүктен тез босауға көмектеседі.
","Бұл мұз жарылып, суға батсаңыз, жүктен тез босауға көмектеседі 
"
"Мұз басқан суға түсу үшін ұзындығы 20-25 метр болатын берік сым және үлкен ілмек пен жүк алып жүру керек.
","Мұз басқан суға түсу үшін ұзындығы жиырма жиырма бес метр болатын берік сым және үлкен ілмек пен жүк алып жүру керек 
"
"Жүк ілінген сымды суға түсіп кеткен адамға лақтыру оңай болады, зардап шегуші оны қолтық астына өткізіп, сенімді ұстап тұруы үшін ілмек қажет;
","Жүк ілінген сымды суға түсіп кеткен адамға лақтыру оңай болады, зардап шегуші оны қолтық астына өткізіп, сенімді ұстап тұруы үшін ілмек қажет;
"
"Ата-аналардан балаларды мұзға (балық аулауға, шаңғымен және конькимен сырғанауға) қараусыз жібермеуді сұраймыз;
","Атааналардан балаларды мұзға (балық аулауға, шаңғымен және конькимен сырғанауға) қараусыз жібермеуді сұраймыз;
"
"Су айдынында ең жиі кездесетін қайғылы жағдай ішімдіктің кесірінен болады.
","Су айдынында ең жиі кездесетін қайғылы жағдай ішімдіктің кесірінен болады 
"
"Адам басына төнген қауіпті сезбей, төтенше жағдайда дәрменсіз күйде болады.
","Адам басына төнген қауіпті сезбей, төтенше жағдайда дәрменсіз күйде болады 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Заттардың бетіндегі коронавирусты жылдам жою әдісі табылды
","« Заттардың бетіндегі коронавирусты жылдам жою әдісі табылды
"
"WhatsApp-та ерекше функция пайда болды »
","WхацАпп та ерекше функция пайда болды »
"
"Алжирде халықты коронавирусқа қарсы ресейлік «Спутник V» екпесімен вакциналау басталды, деп хабарлайды «Хабар 24».
","Алжирде халықты коронавирусқа қарсы ресейлік «Спутник бесінші» екпесімен вакциналау басталды, деп хабарлайды «Хабар жиырма төрт» 
"
"Елге әзірге 50 мың доза вакцина жеткізілген.
","Елге әзірге елу мың доза вакцина жеткізілген 
"
"Ауқымды шара алғаш болып елдегі індеттің басты ошағына айналған Блида провинциясында қолға алынды.
","Ауқымды шара алғаш болып елдегі індеттің басты ошағына айналған Блида провинциясында қолға алынды 
"
"Бастапқы кезеңде екпе дәрігерлерге, қарттар мен созылмалы ауруы бар адамдарға салынбақ.
","Бастапқы кезеңде екпе дәрігерлерге, қарттар мен созылмалы ауруы бар адамдарға салынбақ 
"
"Содан кейін халықтың қалған топтарын вакциналанау жоспарланған.
","Содан кейін халықтың қалған топтарын вакциналанау жоспарланған 
"
"Бен Отман, жергілікті тұрғын:
","Бен Отман, жергілікті тұрғын:
"
"- Бүгін ең қуанышты күн.
","  Бүгін ең қуанышты күн 
"
"Біз бұл сәтті көп күттік.
","Біз бұл сәтті көп күттік 
"
"Індетке қарсы вакцина алып жатқанымыз үшін үкіметке алғысымыз шексіз.
","Індетке қарсы вакцина алып жатқанымыз үшін үкіметке алғысымыз шексіз 
"
"Әрине, екпеге оңайлықпен қол жеткен жоқ.
","Әрине, екпеге оңайлықпен қол жеткен жоқ 
"
"Енді індет қасіретінен арылармыз деген үміттеміз.
","Енді індет қасіретінен арылармыз деген үміттеміз 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Еуропада 92 млн адам кедейлікте өмір сүріп жатыр
","« Еуропада тоқсан екі миллионов адам кедейлікте өмір сүріп жатыр
"
"COVID-19: Грекия астанасында шектеулер қайта қатаңдатылды »
","ЦОВИД он тоғыз: Грекия астанасында шектеулер қайта қатаңдатылды »
"
"Индонезияда ең белсенді Мерапи жанартауы оянды, деп хабарлайды «Хабар 24».
","Индонезияда ең белсенді Мерапи жанартауы оянды, деп хабарлайды «Хабар жиырма төрт» 
"
"Одан атқылаған күлдің биіктігі 3 шақырымға дейін жеткен.
","Одан атқылаған күлдің биіктігі үш шақырымға дейін жеткен 
"
"Ал, лавасы бір жарым шақырымдай аймаққа жайылған.
","Ал, лавасы бір жарым шақырымдай аймаққа жайылған 
"
"Осы ретте таяудағы елді мекендерде қауіптіліктің жоғары деңгейі жарияланды.
","Осы ретте таяудағы елді мекендерде қауіптіліктің жоғары деңгейі жарияланды 
"
"Мамандар кейбір өңір тұрғындарын эвакуциялады.
","Мамандар кейбір өңір тұрғындарын эвакуциялады 
"
"Айта кеткен жөн, Мерапи әлемдегі ең белсенді жанартаулардың бірі саналады.
","Айта кеткен жөн, Мерапи әлемдегі ең белсенді жанартаулардың бірі саналады 
"
"Оның биіктігі 3 шақырымға жуықтайды. 2010 жылы Мерапидің атқылауынан 350-ден аса адам көз жұмған. 350 мыңы үй-жайын тастап, қауіпсіз жерге  эвакуцияланған.
","Оның биіктігі үш шақырымға жуықтайды  екі мың оныншы жылы Мерапидің атқылауынан үш жүз елуден аса адам көз жұмған  үш жүз елу мыңы үйжайын тастап, қауіпсіз жерге  эвакуцияланған 
"
"Нови Янти, жергілікті тұрғын:
","Нови Янти, жергілікті тұрғын:
"
"- Жанартау атқылағаннан кейін біз бірден бастауыш мектептің ғимаратына жиналдық.
","  Жанартау атқылағаннан кейін біз бірден бастауыш мектептің ғимаратына жиналдық 
"
"Артынан құтқарушылар келіп, бізді босқындарға арналған уақытша орындарға жайғастырды.
","Артынан құтқарушылар келіп, бізді босқындарға арналған уақытша орындарға жайғастырды 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Boeing 737 MAX лайнеріне Еуропада ұшуға рұқсат берілді
","« Боеинг жеті жүз отыз жеті МАX лайнеріне Еуропада ұшуға рұқсат берілді
"
"Чехияда коронавирусқа қарсы вакцина жетіспей жатыр »
","Чехияда коронавирусқа қарсы вакцина жетіспей жатыр »
"
"26 желтоқсанда Қостанай облысының Сарыкөл ауданында жеке тұрғын үй өртенді, деп хабарлады alau.kz.
","жиырма алтыншы желтоқсанда Қостанай облысының Сарыкөл ауданында жеке тұрғын үй өртенді, деп хабарлады алау кз 
"
"Сағат 09:14-те Островной ауылының тұрғындары қоңырау шалып, Рабочая көшесіндегі екі бөлмелі үйдің шатыры өртенгенін хабарлаған.
","Сағат тоғыз:он төртте Островной ауылының тұрғындары қоңырау шалып, Рабочая көшесіндегі екі бөлмелі үйдің шатыры өртенгенін хабарлаған 
"
"Өрт сөндірушілер келген кезде өрт шатырға ғана емес, үйдің қамыс қабырғаларына да тараған.
","Өрт сөндірушілер келген кезде өрт шатырға ғана емес, үйдің қамыс қабырғаларына да тараған 
"
"Тілсіз жау 100 шаршы метр аумақты қамтыды.
","Тілсіз жау жүз шаршы метр аумақты қамтыды 
"
"Өрт сөндірушілер сағат 11:01-де өртті ауыздықтады.
","Өрт сөндірушілер сағат он бір:бірде өртті ауыздықтады 
"
"Көп ұзамай үйдегі үйінділердің астынан бір адамның күйген денесі табылды.
","Көп ұзамай үйдегі үйінділердің астынан бір адамның күйген денесі табылды 
"
"Ол 1956 жылғы ер адам болып шықты. Ол өз пәтерінде жалғыз тұрған, үйдің екінші жартысы бос және жабық болған.
","Ол бір мың тоғыз жүз елу алтыншы жылғы ер адам болып шықты  Ол өз пәтерінде жалғыз тұрған, үйдің екінші жартысы бос және жабық болған 
"
"Өрт темекі шегу кезінде отқа абайсыз қараудан шыққан болуы мүмкін.
","Өрт темекі шегу кезінде отқа абайсыз қараудан шыққан болуы мүмкін 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Алматыда BMW жүргізушісі тұрақта тұрған үш көлікті соғып кетті
","« Алматыда БМW жүргізушісі тұрақта тұрған үш көлікті соғып кетті
"
"Павлодарда дәмханадан өрт шықты »
","Павлодарда дәмханадан өрт шықты »
"
"24 желтоқсандағы мәлімет бойынша 24126 адам короновирус инфекциясынан (12181 КВИ+ және 11945 КВИ-) емделуде.
","жиырма төртінші желтоқсандағы мәлімет бойынша жиырма төрт мың жүз жиырма алты адам короновирус инфекциясынан (он екі мың жүз сексен бір КВИ плюс  және он бір мың тоғыз жүз қырық бес КВИ ) емделуде 
"
"Олардың ішінде 4630 пациент стационарда, 19496 науқас амбулаториялық деңгейде ем қабылдауда.
","Олардың ішінде төрт мың алты жүз отыз пациент стационарда, он тоғыз мың төрт жүз тоқсан алты науқас амбулаториялық деңгейде ем қабылдауда 
"
"КВИ+, КВИ - шалдыққандардың арасында:
","КВИ плюс , КВИ   шалдыққандардың арасында:
"
"231 адамның жағдайы ауыр;
","екі жүз отыз бір адамның жағдайы ауыр;
"
"47 пациенттің жағдайы өте ауыр;
","қырық жеті пациенттің жағдайы өте ауыр;
"
"42 науқас ӨЖЖ аппаратында жатыр.
","қырық екі науқас ӨЖЖ аппаратында жатыр 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Қалада тұрсақ та, қыстақтағыдай күн кешіп келеміз – талдықорғандықтар
","« Қалада тұрсақ та, қыстақтағыдай күн кешіп келеміз   талдықорғандықтар
"
"Елордада 33 жаңажылдық шырша орнатылды »
","Елордада отыз үш жаңажылдық шырша орнатылды »
"
"Мәжіліс депутаттары өлім жазасының күшін жоюға бағытталған ратификациялық заң жобасын мақұлдады, деп хабарлайды «Хабар 24».
","Мәжіліс депутаттары өлім жазасының күшін жоюға бағытталған ратификациялық заң жобасын мақұлдады, деп хабарлайды «Хабар жиырма төрт» 
"
"Атап өтейік, бізде бұл жазаға 2003 жылы Елбасының Жарлығымен мораторий жарияланған.
","Атап өтейік, бізде бұл жазаға екі мың үшінші жылы Елбасының Жарлығымен мораторий жарияланған 
"
"Ал, оған балама жаза ретінде аса ауыр қылмыс жасағандар өмір бойы бас бостандығынан айырылады.
","Ал, оған балама жаза ретінде аса ауыр қылмыс жасағандар өмір бойы бас бостандығынан айырылады 
"
"Тәуелсіздік алған сәттен бастап Қазақстан халықаралық құқық қорғау актілеріне қосылды.
","Тәуелсіздік алған сәттен бастап Қазақстан халықаралық құқық қорғау актілеріне қосылды 
"
"Ал, оған балама жаза ретінде аса ауыр қылмыс жасағандар өмір бойы бас бостандығынан айырылады. Тәуелсіздік алған сәттен бастап Қазақстан халықаралық құқық қорғау актілеріне қосылды.
","Ал, оған балама жаза ретінде аса ауыр қылмыс жасағандар өмір бойы бас бостандығынан айырылады  Тәуелсіздік алған сәттен бастап Қазақстан халықаралық құқық қорғау актілеріне қосылды 
"
"Осы мәселе бойынша бүгін Мәжілісте баяндама жасаған Сыртқы істер министрі Мұхтар Тілеуберді хаттаманың халықаралық мәнге ие екенін айтты. Ал, былтырғы желтоқсанда Президент Қасым-Жомарт Тоқаев Қазақстанның екінші факультативті хаттамаға қосылу рәсімін бастауды тапсырған. Осыған сәйкес өткен қыркүйекте Біріккен ұлттар ұйымы жанындағы Қазақстанның тұрақты өкілі Қайрат Омаров екінші факультативті хаттамаға қол қойды.
","Осы мәселе бойынша бүгін Мәжілісте баяндама жасаған Сыртқы істер министрі Мұхтар Тілеуберді хаттаманың халықаралық мәнге ие екенін айтты  Ал, былтырғы желтоқсанда Президент Қасым Жомарт Тоқаев Қазақстанның екінші факультативті хаттамаға қосылу рәсімін бастауды тапсырған  Осыған сәйкес өткен қыркүйекте Біріккен ұлттар ұйымы жанындағы Қазақстанның тұрақты өкілі Қайрат Омаров екінші факультативті хаттамаға қол қойды 
"
"Енді сол құжатты бүгін төменгі палата өкілдері мақұлдап отыр.
","Енді сол құжатты бүгін төменгі палата өкілдері мақұлдап отыр 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Нұр-Сұлтан мен Батыс Қазақстан облысы «сары аймаққа» өтті
","« Нұр Сұлтан мен Батыс Қазақстан облысы «сары аймаққа» өтті
"
"Зейнетақы қорындағы ақшаны алуға қатысты заң қабылданды »
","Зейнетақы қорындағы ақшаны алуға қатысты заң қабылданды »
"
"«Арманым көп, аз өмірім жетер ме?».
","«Арманым көп, аз өмірім жетер ме?» 
"
"Бүгін осындай тақырыппен елордада белгілі жазушы, драматург Сәбит Досановтың әдеби кеші өтті.
","Бүгін осындай тақырыппен елордада белгілі жазушы, драматург Сәбит Досановтың әдеби кеші өтті 
"
"Жаны ақын, жалауы жыр Сәбит Досанов бүгінде сексеннің сеңгірінен асты.
","Жаны ақын, жалауы жыр Сәбит Досанов бүгінде сексеннің сеңгірінен асты 
"
"Мемлекеттік сыйлық лауреаты және Парасат орденінің иегері.
","Мемлекеттік сыйлық лауреаты және Парасат орденінің иегері 
"
"Тырнақалды туындысы «Қайырлы таң» очерктер мен әңгімелер жинағы 1966 жылы жарық көрді.
","Тырнақалды туындысы «Қайырлы таң» очерктер мен әңгімелер жинағы бір мың тоғыз жүз алпыс алтыншы жылы жарық көрді 
"
"Бұдан кейін «Соны іздер» әдеби-зерттеу еңбегі жарияланды.
","Бұдан кейін «Соны іздер» әдебизерттеу еңбегі жарияланды 
"
"Кейін көркем жанрға бет бұрып, бірнеше повесть пен романдарын өз оқырмандарына ұсынды.
","Кейін көркем жанрға бет бұрып, бірнеше повесть пен романдарын өз оқырмандарына ұсынды 
"
"Жазушының «Жиырмасыншы ғасыр» эпопеясы өткен ғасырдың өмірбаяны.
","Жазушының «Жиырмасыншы ғасыр» эпопеясы өткен ғасырдың өмірбаяны 
"
"Ондағы кейіпкер 20-ғасырдағы қазақ ұлты.
","Ондағы кейіпкер жиырмасыншы ғасырдағы қазақ ұлты 
"
"Ұлттық портретті жалғастыра келіп, Сәбит Досанов «Жиырма бірінші ғасыр» жаңа эпопеясының екінші томында бүкіл әлемді жайлаған пандемия жөнінде де жазатынын айтты.
","Ұлттық портретті жалғастыра келіп, Сәбит Досанов «Жиырма бірінші ғасыр» жаңа эпопеясының екінші томында бүкіл әлемді жайлаған пандемия жөнінде де жазатынын айтты 
"
"Сәбит Досанов, жазушы:
","Сәбит Досанов, жазушы:
"
"- Өткен жылы мен енді 80-ге келдім.
","  Өткен жылы мен енді сексенге келдім 
"
"Сол 80 жылдық тойым менің Алматыда Абай атындағы опера және балет театрында өтті.
","Сол сексен жылдық тойым менің Алматыда Абай атындағы опера және балет театрында өтті 
"
"Оған біздің елбасымыз Назарбаев, Мемлекет басшысы Тоқаев бәрінің құттықтаулары болды.
","Оған біздің елбасымыз Назарбаев, Мемлекет басшысы Тоқаев бәрінің құттықтаулары болды 
"
"Оған біздің елбасымыз Назарбаев, Мемлекет басшысы Тоқаев бәрінің құттықтаулары болды. Той өте жақсы өтті. Оны бір газеттер жазды: Опера театрында бірінші рет адам сыймай қалды деп.
","Оған біздің елбасымыз Назарбаев, Мемлекет басшысы Тоқаев бәрінің құттықтаулары болды  Той өте жақсы өтті  Оны бір газеттер жазды: Опера театрында бірінші рет адам сыймай қалды деп 
"
"Ең үлкен көрсеткіш осы.
","Ең үлкен көрсеткіш осы 
"
"Халықтың құрметінен үлкен құрмет жоқ.
","Халықтың құрметінен үлкен құрмет жоқ 
"
"Атақтың біразын алдық ғой.
","Атақтың біразын алдық ғой 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Imanbek, David Guetta және Rita Ora бірігіп миниальбом шығарады
","« Иманбек, Давид Гуетта және Рита Ора бірігіп миниальбом шығарады
"
"Маңғыстаулық оқушы шығарған анимэ фильмдердің танымалдығы артып келеді »
","Маңғыстаулық оқушы шығарған анимэ фильмдердің танымалдығы артып келеді »
"
"Сауд Арабиясында коронавирустың таралуын тоқтату үшін карантиндік шектеулер наурыздың 8-іне дейін ұзартылды.
","Сауд Арабиясында коронавирустың таралуын тоқтату үшін карантиндік шектеулер наурыздың сегізіне дейін ұзартылды 
"
"Себебі елде соңғы апталарда вирусты жұқтырушылар қарасы қайта өскен.
","Себебі елде соңғы апталарда вирусты жұқтырушылар қарасы қайта өскен 
"
"Осыған байланысты ақпанның 5-і күні енгізілген карантинді ұзарту шешілген. Оған сай кинотеатр, ойын-сауық және фитнес орталықтар жабылып, спорттық және өзге де шаралар тоқтатылды.
","Осыған байланысты ақпанның бесі күні енгізілген карантинді ұзарту шешілген  Оған сай кинотеатр, ойынсауық және фитнес орталықтар жабылып, спорттық және өзге де шаралар тоқтатылды 
"
"Мейрамхана мен дәмханаларға тағамды жеткізіп беру бойынша ғана жұмыс істеуге рұқсат берілген.
","Мейрамхана мен дәмханаларға тағамды жеткізіп беру бойынша ғана жұмыс істеуге рұқсат берілген 
"
"Ал ресми дерекке қарағанда Сауд Арабиясында биыл ақпан айынан бастап індет қайта өршіген.
","Ал ресми дерекке қарағанда Сауд Арабиясында биыл ақпан айынан бастап індет қайта өршіген 
"
"Билік вирусты күн сайын 300 адам жұқтырып алып жатқанын айтады.
","Билік вирусты күн сайын үш жүз адам жұқтырып алып жатқанын айтады 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Жаңа Зеландияда британдық штамның таралуы жиіледі
","« Жаңа Зеландияда британдық штамның таралуы жиіледі
"
"Үндістанда жүк көлігінің аударылуынан 16 адам қаза тапты »
","Үндістанда жүк көлігінің аударылуынан он алты адам қаза тапты »
"
"Елімізде 20387 адам коронавирус инфекциясынан (13165 КВИ+ және 7222 КВИ-) емделуде.
","Елімізде жиырма мың үш жүз сексен жеті адам коронавирус инфекциясынан (он үш мың жүз алпыс бес КВИ плюс  және жеті мың екі жүз жиырма екі КВИ ) емделуде 
"
"Олардың ішінде 4574 пациент стационарда, 15813 науқас амбулаториялық деңгейде ем қабылдауда.
","Олардың ішінде төрт мың бес жүз жетпіс төрт пациент стационарда, он бес мың сегіз жүз он үш науқас амбулаториялық деңгейде ем қабылдауда 
"
"КВИ+, КВИ - жұқтырғандар арасында: • 236 адамның жағдайы ауыр; • 55 пациенттің жағдайы өте ауыр; • 47 науқас ӨЖЖ аппаратында жатыр.
","КВИ плюс , КВИ   жұқтырғандар арасында: • екі жүз отыз алты адамның жағдайы ауыр; • елу бес пациенттің жағдайы өте ауыр; • қырық жеті науқас ӨЖЖ аппаратында жатыр 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Қазақстанда коронавирустан жазылғандар саны 193679-ға жетті
","« Қазақстанда коронавирустан жазылғандар саны жүз тоқсан үш мың алты жүз жетпіс тоғызға жетті
"
"СҚО-дағы боран. LIVE »
","СҚО дағы боран  ЛИВЕ »
"
"Мексиканың Веракрус штатындағы Коста-де-Оро аймағында 21 туристі тау өзенінің ағысы алып кетті.
","Мексиканың Веракрус штатындағы Костаде Оро аймағында жиырма бір туристі тау өзенінің ағысы алып кетті 
"
"Төтенше жағдайдан төрт адам қаза тапты, деп хабарлады Washington Post.
","Төтенше жағдайдан төрт адам қаза тапты, деп хабарлады Wашингтон Пост 
"
"Тағы үш адам із-түзсіз жоғалып кеткен.
","Тағы үш адам ізтүзсіз жоғалып кеткен 
"
"Бес турист медициналық көмекке жүгінді.
","Бес турист медициналық көмекке жүгінді 
"
"Бес турист медициналық көмекке жүгінді. Дәрігерлердің айтуынша, олардың өміріне қауіп төніп тұрған жоқ. Барлығы – Мексика азаматтары.
","Бес турист медициналық көмекке жүгінді  Дәрігерлердің айтуынша, олардың өміріне қауіп төніп тұрған жоқ  Барлығы   Мексика азаматтары 
"
"Қайғылы жағдай өзендегі су деңгейінің күрт көтерілуінен болған, себебі бұл аймаққа жаңбыр көп жауды.
","Қайғылы жағдай өзендегі су деңгейінің күрт көтерілуінен болған, себебі бұл аймаққа жаңбыр көп жауды 
"
"Қазір жоғалып кеткендерді бірнеше құтқарушылар тобы іздеуде.
","Қазір жоғалып кеткендерді бірнеше құтқарушылар тобы іздеуде 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Еуроодақ «BioNTech» пен «Pfizer» компанияларының вакцинасын мақұлдады
","« Еуроодақ «БиоНТеч» пен «Пфизер» компанияларының вакцинасын мақұлдады
"
"Қытай мұнай мен газды барлауға басымдық беретін болады »
","Қытай мұнай мен газды барлауға басымдық беретін болады »
"
"Қазақстанда жыл басынан бері браконьерлердің кесірінен жануарлар мен өсімдіктер дүниесіне келтірілген зиян 8 миллионаннан астам теңгені құрады.
","Қазақстанда жыл басынан бері браконьерлердің кесірінен жануарлар мен өсімдіктер дүниесіне келтірілген зиян сегіз миллионаннан астам теңгені құрады 
"
"Жыл басынан бері ҚР Экология, геология және табиғи ресурстар министрлігінің Орман шаруашылығы және жануарлар дүниесі комитеті браконьерлік фактілерді ауыздықтау мақсатында 50-ден астам рейд жүргізді.
","Жыл басынан бері ҚР Экология, геология және табиғи ресурстар министрлігінің Орман шаруашылығы және жануарлар дүниесі комитеті браконьерлік фактілерді ауыздықтау мақсатында елуден астам рейд жүргізді 
"
"Нәтижесінде табиғатты қорғау заңнамасын бұзудың 73 фактісі анықталды, деп хабарлайды ведомствоның баспасөз қызметі.
","Нәтижесінде табиғатты қорғау заңнамасын бұзудың жетпіс үш фактісі анықталды, деп хабарлайды ведомствоның баспасөз қызметі 
"
"52 жеке тұлға әкімшілік жауапкершілікке тартылды, 17 материал сот органдарына жолданды, сондай-ақ облыстық аумақтық инспекциялардың материалдары бойынша құқық қорғау органдары 4 қылмыстық іс қозғады.
","елу екі жеке тұлға әкімшілік жауапкершілікке тартылды, он жеті материал сот органдарына жолданды, сондайақ облыстық аумақтық инспекциялардың материалдары бойынша құқық қорғау органдары төрт қылмыстық іс қозғады 
"
"Сонымен қатар, табиғатты қорғау заңнамасын бұзушылардан сот шешіміне дейін 9 қолдануға тыйым салынған балық аулау құралдары, бір атыс қаруы және 1655,4 кг заңсыз ауланған балық тәркіленді.
","Сонымен қатар, табиғатты қорғау заңнамасын бұзушылардан сот шешіміне дейін тоғыз қолдануға тыйым салынған балық аулау құралдары, бір атыс қаруы және бір мың алты жүз елу бес бүтін оннан төрт кг заңсыз ауланған балық тәркіленді 
"
"Құқық бұзушыларға 611,6 мың теңге сомасында айыппұл салынды, жануарлар мен өсімдіктер дүниесіне келтірілген алдын ала залал – 8 млн 642 мың теңге.
","Құқық бұзушыларға алты жүз он бір бүтін оннан алты мың теңге сомасында айыппұл салынды, жануарлар мен өсімдіктер дүниесіне келтірілген алдын ала залал   сегіз миллионов алты жүз қырық екі мың теңге 
"
"Көрсетілген кезеңде инспекторлар облыстың балық шаруашылығы су айдындарынан 5 км астам қолдануға тыйым салынған балық аулау құралдарын (моножіптен және моноталшықтардан жасалған торларды) тапты және оны су айдынынан алып тастады, жойды.
","Көрсетілген кезеңде инспекторлар облыстың балық шаруашылығы су айдындарынан бес км астам қолдануға тыйым салынған балық аулау құралдарын (моножіптен және моноталшықтардан жасалған торларды) тапты және оны су айдынынан алып тастады, жойды 
"
"Сондай-ақ қысқы кезеңде балықтың қырылуының алдын алу мақсатында тұрақты негізде тұманға қарсы іс-шаралар жүргізіледі.
","Сондайақ қысқы кезеңде балықтың қырылуының алдын алу мақсатында тұрақты негізде тұманға қарсы ісшаралар жүргізіледі 
"
"Бүгінгі таңда 265 шұңқыр, 43 жолақ кесіліп, 250 қамыс шоғыры орнатылды, аталған жұмыстарға 18 бірлік техника мен 58 адам жұмылдырылды.
","Бүгінгі таңда екі жүз алпыс бес шұңқыр, қырық үш жолақ кесіліп, екі жүз елу қамыс шоғыры орнатылды, аталған жұмыстарға он сегіз бірлік техника мен елу сегіз адам жұмылдырылды 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Павлодар облысына вакцинаның 80 мың мөлшері бөлінді
","« Павлодар облысына вакцинаның сексен мың мөлшері бөлінді
"
"Иммунолог: KazKovid-in уақытында пайдалануға берілмеуі мүмкін »
","Иммунолог: КазКовид ин уақытында пайдалануға берілмеуі мүмкін »
"
"Бүгін, 3 сәуір күні Анталияда әлемдік Grand Slam турнирінің соңғы жарыс күні өтіп жатыр, деп хабарлайды Olympic.kz.
","Бүгін, үшінші сәуір күні Анталияда әлемдік Гранд Слам турнирінің соңғы жарыс күні өтіп жатыр, деп хабарлайды Олымпиц кз 
"
